31-07-2017,01:21:03	62.94761	-82.01607	34	0	4	3.1	119
31-07-2017,01:24:29	62.94762	-82.01605	38	0	4	3.1	116
31-07-2017,01:27:07	62.94798	-82.01449	74	25.9	3	6.3	96
31-07-2017,01:30:30	62.94760	-82.01610	32	0	4	3.2	111
31-07-2017,01:33:28	62.94762	-82.01608	36	0	4	3.2	113
31-07-2017,01:36:28	62.94761	-82.01613	34	0	4	3.2	147
31-07-2017,01:39:05	62.94757	-82.01640	10	0	3	8.1	145
31-07-2017,01:42:29	62.94762	-82.01612	34	0	4	3.3	163
31-07-2017,01:45:05	62.94755	-82.01632	20	0	4	3.3	150
31-07-2017,01:48:05	62.94753	-82.01648	24	0	3	4.2	134
31-07-2017,01:51:05	62.94757	-82.01637	32	0	3	4.1	125
31-07-2017,01:54:05	62.94764	-82.01628	48	3.7	3	4.1	122
31-07-2017,01:57:36	62.94763	-82.01616	38	0	3	4.1	107
31-07-2017,02:00:05	62.94753	-82.01567	42	0	3	4.0	111
31-07-2017,02:03:06	62.94767	-82.01582	40	0	3	4.0	141
31-07-2017,02:06:08	62.94758	-82.01637	26	0	3	4.0	127
31-07-2017,02:10:02	62.94763	-82.01596	48	0	3	4.0	140
31-07-2017,02:12:09	62.94769	-82.01521	70	0	3	4.0	131
31-07-2017,02:15:09	62.94769	-82.01507	52	0	3	3.4	126
31-07-2017,02:18:09	62.94764	-82.01618	38	0	3	3.4	149
31-07-2017,02:21:33	62.94758	-82.01546	52	0	3	6.2	135
31-07-2017,02:24:07	62.94742	-82.01487	30	0	3	6.3	114
31-07-2017,02:27:40	62.94759	-82.01620	28	0	3	6.4	126
31-07-2017,02:30:04	62.94761	-82.01595	84	0	3	7.0	119
31-07-2017,02:33:47	62.94761	-82.01624	30	0	3	7.2	119
31-07-2017,02:36:42	62.94729	-82.01536	102	0	3	7.4	93
31-07-2017,02:39:48	62.94763	-82.01647	26	0	3	8.1	138
31-07-2017,02:42:49	62.94762	-82.01649	26	0	3	8.3	132
31-07-2017,02:45:10	62.94759	-82.01500	60	14.8	3	8.4	127
31-07-2017,02:49:18	62.94762	-82.01635	28	0	3	9.2	104
31-07-2017,02:51:55	62.94765	-82.01685	20	0	3	9.3	109
31-07-2017,02:55:00	62.94766	-82.01665	22	0	3	10.0	142
31-07-2017,02:57:07	62.94758	-82.01702	24	7.4	3	10.1	129
31-07-2017,03:00:04	62.94762	-82.01605	48	0	3	10.2	126
31-07-2017,03:03:58	62.94763	-82.01669	22	0	3	10.2	180
31-07-2017,03:07:02	62.94766	-82.01674	20	0	3	10.3	167
31-07-2017,03:09:09	62.94768	-82.01721	10	3.7	3	10.2	107
31-07-2017,03:12:07	62.94762	-82.01760	-0	3.7	3	10.2	111
31-07-2017,03:16:00	62.94761	-82.01643	28	0	3	10.1	163
31-07-2017,03:18:08	62.94766	-82.01670	28	0	3	10.0	108
31-07-2017,03:21:59	62.94763	-82.01655	28	0	3	9.4	153
31-07-2017,03:25:54	62.94726	-82.01586	0	0	3	7.2	132
31-07-2017,03:27:09	62.94723	-82.01558	16	14.8	3	8.1	128
31-07-2017,03:33:13	62.94775	-82.01595	70	0	3	11.2	162
31-07-2017,03:36:20	62.94794	-82.01624	76	7.4	3	7.4	149
31-07-2017,03:39:52	62.94764	-82.01610	40	0	3	6.0	133
31-07-2017,03:42:55	62.94764	-82.01604	46	0	3	5.1	112
31-07-2017,03:45:06	62.94783	-82.01612	62	3.7	3	4.4	109
31-07-2017,03:48:05	62.94767	-82.01574	56	3.7	3	4.2	119
31-07-2017,03:51:05	62.94780	-82.01619	54	0	3	4.1	124
31-07-2017,03:54:05	62.94766	-82.01609	44	0	3	4.0	121
31-07-2017,03:57:05	62.94771	-82.01610	46	0	3	4.0	119
31-07-2017,04:00:04	62.94763	-82.01587	54	0	3	4.0	162
31-07-2017,04:03:04	62.94756	-82.01544	68	0	3	4.0	147
31-07-2017,04:06:04	62.94765	-82.01568	60	0	3	4.0	160
31-07-2017,04:09:04	62.94759	-82.01672	-6	0	3	4.1	151
31-07-2017,04:12:05	62.94767	-82.01607	50	0	3	4.2	164
31-07-2017,04:15:34	62.94764	-82.01616	34	0	4	4.2	156
31-07-2017,04:18:05	62.94766	-82.01629	28	0	4	4.3	177
31-07-2017,04:21:35	62.94761	-82.01602	38	0	4	4.3	167
31-07-2017,04:24:05	62.94764	-82.01659	14	0	3	9.4	165
31-07-2017,04:27:06	62.94743	-82.01503	80	0	3	9.0	139
31-07-2017,04:30:35	62.94760	-82.01597	42	0	4	4.4	168
31-07-2017,04:33:05	62.94776	-82.01677	22	0	3	7.3	165
31-07-2017,04:36:07	62.94752	-82.01655	20	3.7	3	7.1	157
31-07-2017,04:39:05	62.94764	-82.01672	24	3.7	3	6.4	165
31-07-2017,04:43:01	62.94769	-82.01636	16	0	4	6.3	156
31-07-2017,04:45:07	62.94791	-82.01689	-46	3.7	4	6.4	134
31-07-2017,04:49:38	62.94763	-82.01625	28	0	4	7.1	160
31-07-2017,04:51:10	62.94759	-82.01604	34	0	3	13.3	123
31-07-2017,04:55:03	62.94765	-82.01657	4	0	4	7.1	130
31-07-2017,04:57:53	62.94765	-82.01623	22	0	4	7.0	169
31-07-2017,05:00:47	62.94763	-82.01620	26	0	4	6.3	171
31-07-2017,05:03:43	62.94763	-82.01615	28	0	4	6.1	193
31-07-2017,05:06:38	62.94763	-82.01620	30	0	4	5.3	184
31-07-2017,05:09:42	62.94761	-82.01604	24	0	3	6.1	131
31-07-2017,05:12:47	62.94733	-82.01541	178	3.7	3	5.4	122
31-07-2017,05:15:21	62.94757	-82.01589	34	3.7	3	5.3	155
31-07-2017,05:18:14	62.94758	-82.01613	40	0	3	5.1	136
31-07-2017,05:21:26	62.94761	-82.01658	42	0	3	4.4	142
31-07-2017,05:25:24	62.94759	-82.01604	36	0	4	4.1	154
31-07-2017,05:27:38	62.94762	-82.01623	24	0	4	4.0	148
31-07-2017,05:30:36	62.94766	-82.01647	4	0	4	3.3	140
31-07-2017,05:33:39	62.94764	-82.01636	8	0	4	3.2	135
31-07-2017,05:36:35	62.94760	-82.01615	30	0	3	4.3	130
31-07-2017,05:39:05	62.94743	-82.01586	38	3.7	3	4.3	112
31-07-2017,05:42:42	62.94763	-82.01614	32	0	3	4.3	108
31-07-2017,05:45:07	62.94759	-82.01584	52	0	2	2.4	110
31-07-2017,05:48:33	62.94761	-82.01627	22	0	3	4.3	134
31-07-2017,05:51:05	62.94745	-82.01571	50	0	3	4.4	141
31-07-2017,05:54:05	62.94768	-82.01587	56	0	3	4.4	120
31-07-2017,05:57:08	62.94761	-82.01617	34	7.4	3	4.4	140
31-07-2017,06:00:35	62.94763	-82.01607	40	0	3	4.4	148
31-07-2017,06:03:07	62.94772	-82.01617	48	0	3	5.0	128
31-07-2017,06:06:37	62.94761	-82.01621	28	0	3	5.0	164
31-07-2017,06:09:05	62.94765	-82.01596	56	0	3	5.0	147
31-07-2017,06:12:04	62.94765	-82.01598	46	0	3	5.1	148
31-07-2017,06:15:04	62.94763	-82.01645	18	0	3	5.1	153
31-07-2017,06:18:06	62.94754	-82.01643	10	0	3	5.2	144
31-07-2017,06:21:08	62.94760	-82.01625	16	3.7	3	5.3	126
31-07-2017,06:24:09	62.94755	-82.01658	-10	0	2	4.3	105
31-07-2017,06:36:29	62.94752	-82.01629	4	0	3	3.0	115
31-07-2017,06:39:06	62.94776	-82.01585	72	0	3	11.4	116
31-07-2017,06:42:53	62.94755	-82.01618	16	0	3	8.1	120
31-07-2017,06:45:06	62.94773	-82.01672	50	0	3	7.1	118
31-07-2017,06:48:06	62.94747	-82.01636	4	0	3	6.1	120
