Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage
CGM12;2016;7;30;18;36;0;72.943383;-76.090267;47.;5;4.11;;;;;;;;;7256603N;07605416W;
CGM12;2016;7;30;18;36;0;72.942650;-76.094800;0.3;22;4.11;;;;;;;;;7256559N;07605688W;
CGM12;2016;7;30;18;37;0;72.947833;-76.082850;1.7;6;4.11;;;;;;;;;7256870N;07604971W;
CGM12;2016;7;30;18;37;0;72.947717;-76.082700;2.2;5;4.11;;;;;;;;;7256863N;07604962W;
CGM12;2016;7;30;18;38;0;72.947517;-76.083617;2.9;5;4.11;;;;;;;;;7256851N;07605017W;
CGM12;2016;7;30;18;43;0;72.948867;-76.082867;1.2;4;4.11;;;;;;;;;7256932N;07604972W;
CGM12;2016;7;30;18;48;0;72.948767;-76.084183;0.4;5;4.11;;;;;;;;;7256926N;07605051W;
CGM12;2016;7;30;18;53;0;72.949217;-76.084850;3.7;5;4.11;;;;;;;;;7256953N;07605091W;
CGM12;2016;7;30;18;58;0;72.949600;-76.084850;0.6;5;4.11;;;;;;;;;7256976N;07605091W;
CGM12;2016;7;30;19;3;0;72.950267;-76.086150;1.3;6;4.11;;;;;;;;;7257016N;07605169W;
CGM12;2016;7;30;19;8;0;72.950517;-76.087367;1.0;6;4.11;;;;;;;;;7257031N;07605242W;
CGM12;2016;7;30;19;13;0;72.951283;-76.085550;2.6;4;4.1;;;;;;;;;7257077N;07605133W;
CGM12;2016;7;30;19;18;0;72.951450;-76.083950;1.3;5;4.1;;;;;;;;;7257087N;07605037W;
CGM12;2016;7;30;19;23;0;72.951817;-76.081433;0.5;5;4.11;;;;;;;;;7257109N;07604886W;
CGM12;2016;7;30;19;28;0;72.952217;-76.080583;2.4;9;4.1;;;;;;;;;7257133N;07604835W;
CGM12;2016;7;30;19;33;0;72.950683;-76.076033;2.5;6;4.11;;;;;;;;;7257041N;07604562W;
CGM12;2016;7;30;19;38;0;72.951200;-76.077100;3.1;5;4.11;;;;;;;;;7257072N;07604626W;
CGM12;2016;7;30;19;43;0;72.951300;-76.078367;3.8;4;4.11;;;;;;;;;7257078N;07604702W;
CGM12;2016;7;30;19;48;0;72.956250;-76.076083;1.7;5;4.11;;;;;;;;;7257375N;07604565W;
CGM12;2016;7;30;19;53;0;72.956633;-76.075617;0.0;5;4.11;;;;;;;;;7257398N;07604537W;
CGM12;2016;7;30;19;58;0;72.954183;-76.100983;0.3;5;4.11;;;;;;;;;7257251N;07606059W;
CGM12;2016;7;30;20;3;0;72.954867;-76.105317;1.2;4;4.11;;;;;;;;;7257292N;07606319W;
CGM12;2016;7;30;20;8;0;72.954767;-76.106500;2.8;5;4.11;;;;;;;;;7257286N;07606390W;
CGM12;2016;7;30;20;13;0;72.954317;-76.101217;0.4;6;4.11;;;;;;;;;7257259N;07606073W;
CGM12;2016;7;30;20;19;0;72.954467;-76.102567;0.6;17;4.09;;;;;;;;;7257268N;07606154W;
CGM12;2016;7;30;20;24;0;72.960033;-76.071633;0.2;5;4.11;;;;;;;;;7257602N;07604298W;
CGM12;2016;7;30;20;29;0;72.960400;-76.072317;1.6;6;4.11;;;;;;;;;7257624N;07604339W;
CGM12;2016;7;30;20;34;0;72.960517;-76.075550;1.8;4;4.11;;;;;;;;;7257631N;07604533W;
CGM12;2016;7;30;20;39;0;72.961217;-76.078150;1.5;13;4.1;;;;;;;;;7257673N;07604689W;
CGM12;2016;7;30;20;44;0;72.954717;-76.085417;29.;10;4.11;;;;;;;;;7257283N;07605125W;
CGM12;2016;7;30;20;49;0;72.948250;-76.100467;0.2;9;4.11;;;;;;;;;7256895N;07606028W;
CGM12;2016;7;30;20;55;0;72.948800;-76.101317;0.0;84;4.09;;;;;;;;;7256928N;07606079W;
CGM12;2016;7;30;21;1;0;72.949850;-76.093183;0.0;49;4.09;;;;;;;;;7256991N;07605591W;
CGM12;2016;7;30;21;7;0;72.950600;-76.096017;0.5;55;4.09;;;;;;;;;7257036N;07605761W;
CGM12;2016;7;30;21;12;0;72.950733;-76.093917;1.4;4;4.09;;;;;;;;;7257044N;07605635W;
CGM12;2016;7;30;21;17;0;72.953233;-76.070733;0.2;4;4.09;;;;;;;;;7257194N;07604244W;
CGM12;2016;7;30;21;22;0;72.953817;-76.070633;0.8;4;4.1;;;;;;;;;7257229N;07604238W;
CGM12;2016;7;30;21;27;0;72.954833;-76.071017;0.8;4;4.11;;;;;;;;;7257290N;07604261W;
CGM12;2016;7;30;21;32;0;72.955867;-76.071050;0.4;4;4.11;;;;;;;;;7257352N;07604263W;
CGM12;2016;7;30;21;37;0;72.956783;-76.071083;1.3;4;4.11;;;;;;;;;7257407N;07604265W;
CGM12;2016;7;30;21;42;0;72.957767;-76.070933;2.5;4;4.11;;;;;;;;;7257466N;07604256W;
CGM12;2016;7;30;21;47;0;72.958750;-76.070317;1.0;4;4.11;;;;;;;;;7257525N;07604219W;
CGM12;2016;7;30;21;52;0;72.959667;-76.069783;1.9;4;4.11;;;;;;;;;7257580N;07604187W;
CGM12;2016;7;30;21;57;0;72.960617;-76.069367;1.4;4;4.11;;;;;;;;;7257637N;07604162W;
CGM12;2016;7;30;22;2;0;72.961400;-76.069283;1.6;7;4.11;;;;;;;;;7257684N;07604157W;
CGM12;2016;7;30;22;7;0;72.962367;-76.069317;1.4;6;4.11;;;;;;;;;7257742N;07604159W;
CGM12;2016;7;30;22;12;0;72.963067;-76.068783;3.0;20;4.1;;;;;;;;;7257784N;07604127W;
CGM12;2016;7;30;22;18;0;72.963800;-76.069317;1.7;6;4.1;;;;;;;;;7257828N;07604159W;
CGM12;2016;7;30;22;23;0;72.964517;-76.069517;0.5;15;4.1;;;;;;;;;7257871N;07604171W;
CGM12;2016;7;30;22;28;0;72.965117;-76.069483;1.4;17;4.1;;;;;;;;;7257907N;07604169W;
CGM12;2016;7;30;22;33;0;72.965750;-76.053850;1.0;6;4.09;;;;;;;;;7257945N;07603231W;
CGM12;2016;7;30;22;38;0;72.966817;-76.054483;0.5;5;4.09;;;;;;;;;7258009N;07603269W;
CGM12;2016;7;30;22;44;0;72.963850;-76.045350;0.0;34;4.09;;;;;;;;;7257831N;07602721W;
CGM12;2016;7;30;22;49;0;72.964533;-76.046283;0.7;4;4.1;;;;;;;;;7257872N;07602777W;
CGM12;2016;7;30;22;54;0;72.964983;-76.047367;0.1;4;4.11;;;;;;;;;7257899N;07602842W;
CGM12;2016;7;30;22;59;0;72.965150;-76.048950;0.8;4;4.1;;;;;;;;;7257909N;07602937W;
CGM12;2016;7;30;23;4;0;72.965950;-76.051833;3.3;4;4.1;;;;;;;;;7257957N;07603110W;
