Logger ID;Year;Month;Day;Hour;Minute;Second;Latitude;Longitude;Speed;Searching time;Voltage;Temperature;Altitude;Div up;Div down;No GPS - timeout;No GPS - diving;In range;Diving duration;Raw latitude;Raw Longitude;Decision voltage
CGM12;2016;8;5;14;48;0;72.948333;-76.087533;0.5;8;3.89;;;;;;;;;7256900N;07605252W;
CGM12;2016;8;5;14;53;0;72.948633;-76.083733;1.0;7;3.89;;;;;;;;;7256918N;07605024W;
CGM12;2016;8;5;14;58;0;72.949350;-76.078367;2.0;14;3.89;;;;;;;;;7256961N;07604702W;
CGM12;2016;8;5;15;3;0;72.949800;-76.073400;1.8;12;3.89;;;;;;;;;7256988N;07604404W;
CGM12;2016;8;5;15;8;0;72.950000;-76.068417;1.2;8;3.89;;;;;;;;;7257000N;07604105W;
CGM12;2016;8;5;15;13;0;72.967633;-75.988033;27.;8;3.89;;;;;;;;;7258058N;07559282W;
CGM12;2016;8;5;15;18;0;72.992500;-75.877717;26.;7;3.89;;;;;;;;;7259550N;07552663W;
CGM12;2016;8;5;15;23;0;72.995767;-75.866350;1.0;7;3.89;;;;;;;;;7259746N;07551981W;
CGM12;2016;8;5;15;29;0;72.995433;-75.866850;0.2;11;3.89;;;;;;;;;7259726N;07552011W;
CGM12;2016;8;5;15;34;0;72.995567;-75.863133;1.2;11;3.89;;;;;;;;;7259734N;07551788W;
CGM12;2016;8;5;15;44;0;72.995667;-75.853017;1.0;10;3.88;;;;;;;;;7259740N;07551181W;
CGM12;2016;8;5;15;49;0;72.995683;-75.851850;1.3;16;3.88;;;;;;;;;7259741N;07551111W;
CGM12;2016;8;5;15;54;0;72.995383;-75.850817;0.8;10;3.89;;;;;;;;;7259723N;07551049W;
CGM12;2016;8;5;15;59;0;72.995217;-75.847633;0.3;13;3.89;;;;;;;;;7259713N;07550858W;
CGM12;2016;8;5;16;4;0;73.012483;-75.789783;27.;9;3.88;;;;;;;;;7300749N;07547387W;
CGM12;2016;8;5;16;10;0;73.021150;-75.749783;0.4;10;3.89;;;;;;;;;7301269N;07544987W;
CGM12;2016;8;5;16;15;0;73.020517;-75.749233;0.9;11;3.89;;;;;;;;;7301231N;07544954W;
CGM12;2016;8;5;16;20;0;73.020283;-75.750583;0.5;19;3.88;;;;;;;;;7301217N;07545035W;
CGM12;2016;8;5;16;25;0;73.037883;-75.700267;26.;8;3.88;;;;;;;;;7302273N;07542016W;
CGM12;2016;8;5;16;30;0;73.065133;-75.621417;29.;7;3.88;;;;;;;;;7303908N;07537285W;
CGM12;2016;8;5;16;35;0;73.095250;-75.546500;28.;7;3.88;;;;;;;;;7305715N;07532790W;
CGM12;2016;8;5;16;45;0;73.109117;-75.514400;0.3;11;3.88;;;;;;;;;7306547N;07530864W;
CGM12;2016;8;5;16;51;0;73.132600;-75.461067;26.;8;3.88;;;;;;;;;7307956N;07527664W;
CGM12;2016;8;5;16;56;0;73.143850;-75.447233;1.4;7;3.88;;;;;;;;;7308631N;07526834W;
CGM12;2016;8;5;17;1;0;73.143983;-75.448700;0.3;7;3.89;;;;;;;;;7308639N;07526922W;
CGM12;2016;8;5;17;6;0;73.144150;-75.449750;0.6;7;3.89;;;;;;;;;7308649N;07526985W;
CGM12;2016;8;5;17;11;0;73.144717;-75.450617;0.3;13;3.89;;;;;;;;;7308683N;07527037W;
CGM12;2016;8;5;17;17;0;73.145883;-75.448317;0.6;42;3.87;;;;;;;;;7308753N;07526899W;
CGM12;2016;8;5;17;23;0;73.146867;-75.446167;0.6;69;3.87;;;;;;;;;7308812N;07526770W;
CGM12;2016;8;5;17;38;0;73.150333;-75.440600;1.0;13;3.88;;;;;;;;;7309020N;07526436W;
CGM12;2016;8;5;17;43;0;73.150733;-75.443167;0.2;9;3.87;;;;;;;;;7309044N;07526590W;
CGM12;2016;8;5;17;48;0;73.151333;-75.445333;0.4;12;3.87;;;;;;;;;7309080N;07526720W;
CGM12;2016;8;5;17;53;0;73.151467;-75.448017;0.6;8;3.88;;;;;;;;;7309088N;07526881W;
CGM12;2016;8;5;17;59;0;73.151867;-75.448783;0.5;14;3.88;;;;;;;;;7309112N;07526927W;
CGM12;2016;8;5;18;4;0;73.171200;-75.415183;25.;7;3.88;;;;;;;;;7310272N;07524911W;
CGM12;2016;8;5;18;9;0;73.191733;-75.376583;1.7;8;3.88;;;;;;;;;7311504N;07522595W;
CGM12;2016;8;5;18;14;0;73.192017;-75.377400;0.7;7;3.88;;;;;;;;;7311521N;07522644W;
CGM12;2016;8;5;18;19;0;73.192400;-75.377217;0.8;7;3.88;;;;;;;;;7311544N;07522633W;
CGM12;2016;8;5;18;24;0;73.193133;-75.376000;0.9;6;3.88;;;;;;;;;7311588N;07522560W;
CGM12;2016;8;5;18;34;0;73.195317;-75.370367;0.5;6;3.87;;;;;;;;;7311719N;07522222W;
CGM12;2016;8;5;18;49;0;73.198833;-75.360600;0.9;7;3.87;;;;;;;;;7311930N;07521636W;
CGM12;2016;8;5;18;54;0;73.199833;-75.358833;0.8;6;3.88;;;;;;;;;7311990N;07521530W;
CGM12;2016;8;5;19;5;0;73.201317;-75.351600;0.2;7;3.87;;;;;;;;;7312079N;07521096W;
CGM12;2016;8;5;19;10;0;73.201567;-75.351450;0.8;9;3.88;;;;;;;;;7312094N;07521087W;
CGM12;2016;8;5;19;15;0;73.201717;-75.351300;1.2;8;3.87;;;;;;;;;7312103N;07521078W;
CGM12;2016;8;5;19;20;0;73.201767;-75.351417;0.5;7;3.88;;;;;;;;;7312106N;07521085W;
CGM12;2016;8;5;19;25;0;73.201833;-75.350467;1.2;7;3.88;;;;;;;;;7312110N;07521028W;
CGM12;2016;8;5;19;30;0;73.202033;-75.350733;0.5;8;3.88;;;;;;;;;7312122N;07521044W;
CGM12;2016;8;5;19;35;0;73.202167;-75.350267;0.0;7;3.88;;;;;;;;;7312130N;07521016W;
CGM12;2016;8;5;19;40;0;73.202433;-75.349583;0.4;7;3.88;;;;;;;;;7312146N;07520975W;
CGM12;2016;8;5;19;45;0;73.202950;-75.348817;0.0;7;3.88;;;;;;;;;7312177N;07520929W;
CGM12;2016;8;5;19;50;0;73.202933;-75.347550;0.7;7;3.88;;;;;;;;;7312176N;07520853W;
CGM12;2016;8;5;19;57;14;;;;;;;;;;1;;;;;;
CGM12;2016;8;5;20;3;0;73.205367;-75.339233;1.0;50;3.85;;;;;;;;;7312322N;07520354W;
CGM12;2016;8;5;20;8;0;73.206600;-75.334533;0.4;54;3.85;;;;;;;;;7312396N;07520072W;
